post_type,slat_full_1340,slat_extra_1340,slot_full_1340,slot_extra_1340,acrylic_full_1340,acrylicheader_955_1340,acrylic_full_1000,acrylic_full_1900,smartcode_ref
2.5inch,x,x,x,x,x,x,x,x,2.5
2inch,,,,,,,,,2.0
