post_connection_type,beamend_ref,beamend1_part_prefix,beamend1_qtyper,beamend2_part_prefix,beamend2_qtyper,add_part1,add_part1_qty,add_part2,add_part2_qty,add_part3,add_part3_qty,add_part4,add_part4_qty,r1,r2,r3,r4,r5
2.5 inch and 2.5 inch,HDHD,02014,2,,,02034-000,4,00256-000,4,,,,,x,,,,
2.5 inch and Oval,HDOV,02014,1,01689,1,beam1Fix1,2,beam1Fix2,2,beam2Fix1,2,beam2Fix2,2,,,,,
