webpart_old,runqty_old,websub_group,webpart_new,runqty_new,tape_end_web_type,webdesc_old
08136-D4,3.65,Max,08136-D4-380,1,cut,Yellow Black Chevron Max
08136-D3,3.65,Max,08136-D3-380,1,cut,Red White Chevron Std
