extrusion_type,post_centre_lookup,beam_end_lookup,maxpurchaselength_mm,beamend_part_prefix,beamend_qtyper,add_part1,add_part1qty,add_part2,add_part2qty,image,listprice_reserve,fg_num,OD_smart_code,suspend_selection
2 Inch System,1,1,4000,11092,2,02011-000,4,,,\\TENLTD-EPIC2\Epicor905\Server\ud\IQMNextGenBeamConfigurator\Images\Beam.jpg,5.59,IQMB,2.0,
2.5 Inch System,2,2,4000,11092,2,02011-000,4,,,\\TENLTD-EPIC2\Epicor905\Server\ud\IQMNextGenBeamConfigurator\Images\Beam.jpg,5.59,IQMB,2.5,
