cust_num,sep_char,seq1,seq2,seq3,seq4,seq5,seq6,seq7,seq8,seq9,seq10,seq11,seq12
,,FG Ref,Base Style + Base Finish,Base Cover Finish,Post Finish + Post Head Finish,Cass ID + Cass Type + Webbing Length,Webbing Finish,Tape End Type,Dual Cass ID + Cass Type + Webbing Length,Dual Webbing Finish,Dual Tape End Type,Base Protector,Top Cap Label
1,-,1,2,3,4,5,6,7,8,9,10,11,12
4,-,1,7,3,4,5,6,2,,,,,
