id,colorCode,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,std_postfinishupcharge
Silver DB703 (DB703),DB703,,,,,,,,,,,,,,,,,,,,,
Silver FW104E (91),91,x,,x,,,,x,,,,,,,,,,,,,,
Silver Gray (86),86,x,,x,,,,x,,,,,,,,,,,,,,
Silver Grey Ral7001 (7001),7001,,,,,,,,,,,,,,,,,,,,,
Silver Moon (81),81,x,,x,,,,x,,,,,,,,,,,,,,
Silver Ral9006 (9006),9006,,,,,,,,,,,,,,,,,,,,,
Silver Vein (64),64,x,,x,,,,x,,,,,,,,,,,,,,
Slate Grey Ral7015 (7015),7015,,,,,,,,,,,,,,,,,,,,,
Special Green 09C24 (563),563,,,,,,,,,,,,,,,,,,,,,
Stainless 810-M Anthracite Metallic effect (810-M),810-M,,,,,,,,,,,,,,,,,,,,,
Stainless Painted Grey Ral7021 (3B-7021),3B-7021,,,,,,,,,,,,,,,,,,,,,
Stainless Steel Black Powder Coat (33SB),33SB,,,,,,,,,,,,,,,,,,,,,
Stainless Steel Ral6012 (28S),28S,,,,,,,,,,,,,,,,,,,,,
Stainless Steel Ral7011 (3B7011),3B7011,,,,,,,,,,,,,,,,,,,,,
Statuary Bronze (8),8,x,,x,,,,x,,,,,,,,,,,,,,70
Sun Gold (82),82,x,,x,,,,x,,,,,,,,,,,,,,
Traffic Black Matt Ral9017 (9017),9017,,,,,,,,,,,,,,,,,,,,,
Traffic White Ral9016 (9016),9016,,,,,,,,,,,,,,,,,,,,,
Turkish Blue Ral5018 (5018),5018,,,,,,,,,,,,,,,,,,,,,
Wedgewood Blue Ral250 70 30 (250-70-30),250-70-30,,,,,,,,,,,,,,,,,,,,,
White (32),32,,x,,,,,x,,,,,,,,,,,,,,
White Ral9003 (9003),9003,,,,,,,,,,,,,,,,,,,,,
White Ral9010 (32),32,x,,x,,,,,,,,,,,,,,,,,,
Window Grey Ral7040 (7040),7040,,,,,,,,,,,,,,,,,,,,,
Yellow (35),35,x,,x,,,,x,,,,,,,,,,,,,,
Yellow Ral1004 Smooth (35),35,,,,,,,,,,,,,,,,,,,,,
Grey Texture Interpon (200),200,,,,,,,x,,,,,,,,,,,,,,
