id,colourcode,base_universalmk2,cover_universalmk2,base_universalheavymk2,cover_universalheavymk2,base_basicsmk2,cover_basicsmk2,base_basicsheavymk2,cover_basicsheavymk2,base_outdoor,base_expressions,cover_expressions,base_sport,base_surface_mount,base_heavyduty,base_rollabase,base_stowaway_feet,base_mk2basicspop,cover_mk2basicspop,base_magnetic,base_mk2universal887,cover_mk2universal887,base_mk2universal888,cover_mk2universal888,cover_magnetic,base_magneticlocated,cover_magneticlocated,base_traditional,cover_traditional,std_basecoverfinishupcharge
Ral 240 50 40 (2405040),2405040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw (000),000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Ral3002 (21),21,,x,,,,,,,,,,,,,,,,x,,,,,,x,,x,,x,
Red Ral3020 (3020),3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Wine Ral3005 (3005),3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby Red Ral3003 (3003),3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satin Black (33S),33S,,x,,,,,,,,x,x,x,,x,,x,,,,,,,,x,,x,,,
Satin Brass (2S),2S,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,25
Satin Chrome (1S),1S,,x,,,,,,,,,,x,,,,,,,,,,,,x,,x,,x,
Satin Stainless (3S),3S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Black Ral9004 (9004),9004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver  FW104E (91),91,,x,,,,,,,,,,x,,,,,,,,,,,,x,,x,,,
Silver DB703 (DB703),DB703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Grey Ral7001 (7001),7001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Ral9006 (9006),9006,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,
Silver Vein (SV),SV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slate Grey Ral7015 (7015),7015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Green 09C24 (563),563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stainless Painted Grey Ral7021 (3B-7021),3B-7021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stainless steel (3B),3B,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,
Stainless Steel Black Powder Coat (33SB),33SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stainless Steel Ral7011 (3B7011),3B7011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statuary Bronze (8X),8X,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,70
Sun Gold (82),82,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Traffic Black Matt Ral9017 (9017),9017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Traffic White Ral9016 (9016),9016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkish Blue Ral5018 (5018),5018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbra Grey Ral7022 (7022),7022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White  Ral9010 (32),32,,,,,,,,,,,,,,,,,,,,,,,,x,,x,,,
White Ral9001 (9001),9001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Ral9003 (9003),9003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Window Grey Ral7040 (7040),7040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yellow Ral1004 (35),35,,x,,,,x,,,,,,x,,,,,,,,,,,,x,,x,,,
Blue (23),23,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
White (32),32,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Gray (36),36,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Metallic Anodize Gray,95,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,
Gloss Black (33G),33G,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Burgundy (40),40,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Brown (46),46,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Silver Vein (64),64,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Gold Vein (65),65,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Copper Vein (66),66,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,
Black Wrinkle (89),89,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
