id,fg_desc,commodity_code,std_op_time_min,alt_op_time_min,pick_op_time_min,std_warranty,tensabright,intrastat_unitweightkg
PA6,Merchandising bowl without POS,3908900090,4,,4,,,1
IQMHE,InQ Merchandising Header,7326909890,,,,,,2
FBS463,Tensaguide Beam 2.0m,7326909890,3,,,,,2
TBM130,Tensaguide Plus 2.5inch Post with Magnetic Base,7326909890,10,,,,,5
IMPBOX,Acrylic Impulse Box with adjustable dividers 1120mm (L) x 300mm (W),3925901000,5,,,,,13
Modular Handrail,Modular Handrail System,7326909890,1,,,,,18
TMG-BD1000-1P,Bi Directional Gate Polished Chrome,7326909890,,,,,,12
VAUltraV3,Virtual Assistant Ultra Version3,8531202090,60,,,,,2
CBN40D,Outdoor 1330x817mm Sub-Dye 240 banner with pockets Double sided print with bespoke text/graphic,5806329000,,,,,,1
UNIHEAD,Ensemble tete universelle,7326909890,2,,,,,1
TMG-SM1000-RH-1P,Right Hand Mechanical Gate (Polished Chrome),8479899790,,,,,,8
891,Element mural mini  (Bati plastique),7326909890,2,,,,,1
889/680,Poteau Advance haut. 680mm,7326909890,3,,,,,1
CASD-MAG,Cassette Munich Std Duo line,7326909890,3,,,,,1
893,Telescopic Sign Post,7326909890,5,,,,,12
360,Rotating Post,7326909890,5,,,,,12
970,XL Wall Mount,7326909890,5,,,,,30
180,Rotating Wall Unit,7326909890,5,,,,,5
892L,Vertical Latch Door Recess Unit 892L,7326909890,5,,,,,5
,,,,,,,,
