id,colorCode,Advance_889_post,Advance_889,Advance_889_dual,slimline_890b_build,popular_post,stow_post,display_post,heavyduty_post,heavyduty_screwfix_post,heavyduty_dual,Slimline_890_build,wide_cassette_post,wide_cassette_dual,heavyduty150_screwfix_post,heavyduty_dual_screwfix_post,utility887_post,safety888_post,slimline_890,tensaclear_post,outdoortwin_post,heavydutybayonettwin_post,heavydutyscrewfixtwin_post,Advance_889_Magnetic_post,680_post,telescopic_post,rotateheadmain_post,rotateheadsub_post,safety888sub_post,rotateheadassy_post,889_postfinishupcharge,qwayplus_post,marine_post,Advance_889B_post,rb1sub_post,889phw_subpost,slimline_890_build_head
Pearl Blackberry Ral4012 (4012),4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pewter Nickel (11),11,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink (PMS233),PMS233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink PMS233 (233),233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polished Brass (2P),2P,x,x,x,,,,,,,,x,,,,,,,x,,,,,,,,,,,,25,,,,,,x
Polished Chrome (1P),1P,x,x,x,x,,,x,,,,x,x,x,,,,,x,,,,,x,,,,,,,,x,,,,,x
Polished Chrome (1PMK2),1PMK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polished Stainless (3P),3P,x,x,x,,,,,,,,x,x,,,,,,x,,,,,,,,,,,,,,,,,,x
Polished Stainless 316 Marine Grade (316P),316P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pure Red Ral3028 (3028),3028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple (94),94,,x,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,x
Purple Ral4007 (4007),4007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ral 240 50 40 (2405040),2405040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw (000),000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red (21),21,,,,,,,,,,,,,,x,,,,,,x,,x,,,,,,,,,x,,,,,
Red Ral3002 (21),21,,x,x,,,,,,,,x,x,,,,x,x,,,,,,,,,,,,,,,,x,,,x
Red Ral3020 (3020),3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Wine Ral3005 (3005),3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby Red Ral3003 (3003),3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
