id,colourcode,base_universalmk2,cover_universalmk2,base_universalheavymk2,cover_universalheavymk2,base_basicsmk2,cover_basicsmk2,base_basicsheavymk2,cover_basicsheavymk2,base_outdoor,base_expressions,cover_expressions,base_sport,base_surface_mount,base_heavyduty,base_rollabase,base_stowaway_feet,base_mk2basicspop,cover_mk2basicspop,base_magnetic,base_mk2universal887,cover_mk2universal887,base_mk2universal888,cover_mk2universal888,cover_magnetic,base_magneticlocated,cover_magneticlocated,base_traditional,cover_traditional,base_universal,cover_universal,std_basecoverfinishupcharge,base_marineuniversalmk2,cover_marineuniversalmk2,base_marinebasicsmk2,cover_marinebasicsmk2
Aer Lingus TLP-C609-S (AERL),AERL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Weather (AW),AW,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,
Aluminium (ALUM),ALUM,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
High glass black Ral9005 (9005),9005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Light Grey (012),012,,,,,,,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,
Light green Ral6018 (6018),6018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilac Ral4005 (4005),4005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnetic Standard,AAA,,,,,,,,,,,,,,,,,,,x,,,,,,x,,,,,,,,,,
Marine Brushed Stainless (316),316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marine Clear Coated (MARINE-C),MARINE-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Marine Coated Blue (MARINE-23),MARINE-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Marine Coated Black (MARINE-33S),MARINE-33S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Marine Coated Black Wrinkle (MARINE-89),MARINE89,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,
Marine Coated Grey (MARINE36),MARINE-36,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Marine Coated Satin Chrome (1S-MARINE-C),1S-MARINE-C,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Marine Coated Satin Stainless (3P-MARINE-C),3P-MARINE-C,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Marine Coated Satin Stainless (MARINE-3S),MARINE-3S,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Marine Coated Satin Slate Grey 38-70019 Tiger (MAR-3870019),MAR-3870019,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Marine Coated Purple Ral4005 (MARINE-94),MARINE-94,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Marine Coated Red (MARINE21),MARINE21,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Marine Coated White (MARINE-32),MARINE-32,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Marine Coated Yellow (MARINE-35),MARINE-35,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,
Matt Black (33),33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metallic Anodize Gray,95,,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x
Metalic Dark Grey Ral9007 (9007),9007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metallic Silver Grey (87),87,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse Grey Ral7005 (7005),7005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Base Cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Base,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-branded (Grey),000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nut Brown Ral8011 (8011),8011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Ral2003 (ORG-2003),ORG-2003,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange Ral2004 (2004),2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantone 425c (425C),425C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pearl Blackberry Ral4012 (4012),4012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink PMS233 (PMS233),PMS233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pink Ral4010 (4010),4010,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polished Chrome (1P),1P,,x,,,,,,,,,,x,,,,,,,,,,,,,,,,x,,,,,,,
Polished Stainless (3P),3P,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polished Brass (2P),2P,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Polished Stainless 316 Marine Grade (316P),316P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polished Brass with Clear Coat (2P-C),2P-C,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Pure Red Ral3028 (3028),3028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple (94),94,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purple Ral4007 (4007),4007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ral 240 50 40 (2405040),2405040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raw (000),000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Ral3002 (21),21,,x,,x,,,,,,,,,,,,,,x,,,,,,,,,,x,,,,,,,
Red Ral3020 (3020),3020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Wine Ral3005 (3005),3005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruby Red Ral3003 (3003),3003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satin Black Flat Pack (33SF),33SF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satin Brass (2S),2S,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Satin Chrome (1S),1S,,x,,x,,,,,,,,x,,,,,,,,,,,,x,,x,,x,,,,,,,
Satin Chrome (1S-OLD),1S-OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,
Satin Chrome GL (1SGL),1SGL,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satin Chrome with Sony Logo (1S-SONYLOGO),1S-SONYLOGO,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satin Stainless (3S),3S,,x,,x,,,,,,,,,,,,,,,,,,,,x,,x,,,,,,,,,
Signal Black Ral9004 (9004),9004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver  FW104E (91),91,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Silver DB703 (DB703),DB703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Grey Ral7001 (7001),7001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Moon (81),81,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Ral9006 (9006),9006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Vein (64),64,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,
Slate Grey Ral7015 (7015),7015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Green 09C24 (563),563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
