id,seg2,seg3,seg4,seg5,seg6,seg7,seg8,seg9,seg10,seg11,seg12
,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,Base Protector,not_applicable
csv_columnref,,,,,,,,,,,
PENDING,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
