id,cassette_assy,prewind_option,web_type,web_length,wedge_partnum,web_pt_search,fg_filter,tape_end_range,topcap_label_denial,topcap_label_part_prefix,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,cassfg_num,comment_string,cycle_time_selector,tensalarm_resetfob_partnum,alrmop_time,dustcover_option,r36,padprint_smartcode_suffix,smart_cass_id,topcap_included,NightView_max_length_m,Standard_max_length,fg_desc_type,suspend_selection,web_length_group1,web_length_group2,web_length_group3,web_length_group4,web_length_group5,base_listprice
poteau receveur Dualline Heavyduty,69235-33S,,RCV,,,,End Post,,TRUE,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,CASD-ZINC-RCV,Dualline HeavyDuty Dummy Cassette,std,,,,,,21,FALSE,,,,,,,,,,
cassette Dualline Magnetic Standard,54175-AAB,,STD,1,,04837,Standard,1,TRUE,,,x,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,CASD-MAG,Dualline Magnetic Standard Cassette,std,,,,,,22,FALSE,,,,,,,,,,
poteau Universal Heavyduty 4way,54017-000,,HDY,1,,04837,Standard,1,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,CAS-ZINC,HeavyDuty Standard Cassette,std,,,,,,23,TRUE,,,,,,,,,,
poteau Universal Heavyduty Max 4way,54532-000,,MAX,2,,08136,Max,1,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,CAS-ZINC,HeavyDuty Max Cassette,std,,,,,,24,TRUE,3.45,,,,,,,,,
4 Way Dummy Tensator Imprime,54043-AAC,,RCV,,,,End Post,,TRUE,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-RCV,Dummy Cassette,std,,,,,007,25,FALSE,,,,,,,,,,0
4 Way Dummy entier,54043-AAD,,RCV,,,,End Post,,,03466,x,,x,x,,,,,,,,,,,,,x,,,,,,,,,,,x,,,,,,,,CAS-RCV,Dummy Cassette,std,,,,,,26,TRUE,,,,,,,,,,0
4 Way Zinc Dummy entier,54048-000,,RCV,,,,End Post,,,03466,x,,,,,,,,,,,,,,,,,,,,,,,,,,,x,,,x,,,,,CAS-ZINC-RCV,HeavyDuty Dummy Cassette,std,,,,,,27,TRUE,,,,,,,,,,0
poteau Wide webbing 150mm imprime Tensator,54159-AAC,,WDE,3,02918-33S,03893,Wide webbing 150mm,2,TRUE,03466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CAS-PLUS,Plus Cassette,std,,,,,007,28,FALSE,,,,,,,,,,0
poteau Wide Webbing 150mm dummy entier,54160-AAD,,RCV,,02918-33S,,End Post,,,03466,,,,,x,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,CAS-PLUS-RCV,Plus Dummy Cassette,std,,,,,,29,TRUE,,,,,,,,,,0
poteau Wide webbing 150mm entier,54159-AAD,,WDE,3,02918-33S,03893,Wide webbing 150mm,2,,03466,,,,,x,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,CAS-PLUS,Plus Cassette,std,,,,,,30,TRUE,,,,,,,,,,0
