id,cass_range,add_packing_part,add_packing_qty
Tensabarrier standard,20,,
duo line standard,21,,
Tensabarrier max,22,,
duo line Max,23,,
magnetique,24,,
avec alarme,25,,
Plus Tensabarrier,26,,
Plus Dualline,27,,
fixation,28,,
super lourd,29,,
Qmatic,30,,
Tensacone Topper,32,01295-000,1
Wallmounts,34,,
